Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Nordeste,Bahia,601-700,45682.0,<17,4774.0,Redação
Nordeste,Bahia,701-800,29062.0,<17,3658.0,Redação
Nordeste,Bahia,801-900,29114.0,<17,3471.0,Redação
Nordeste,Bahia,901-1.000,20796.0,<17,1967.0,Redação
Nordeste,Bahia,>1.001,4.0,<17,0.0,Redação
Sudeste,Minas Gerais,0 -100,6.0,<17,0.0,Redação
Sudeste,Minas Gerais,101-200,75.0,<17,0.0,Redação
Sudeste,Minas Gerais,201-300,2581.0,<17,170.0,Redação
Sudeste,Minas Gerais,301-400,12439.0,<17,1077.0,Redação
Sudeste,Minas Gerais,401-500,23288.0,<17,2191.0,Redação
Sudeste,Minas Gerais,501-600,49971.0,<17,4936.0,Redação
Sudeste,Minas Gerais,601-700,53009.0,<17,6673.0,Redação
Sudeste,Minas Gerais,701-800,37054.0,<17,5274.0,Redação
Sudeste,Minas Gerais,801-900,41905.0,<17,5218.0,Redação
Sudeste,Minas Gerais,901-1.000,36463.0,<17,3303.0,Redação
Sudeste,Minas Gerais,>1.001,2.0,<17,0.0,Redação
Sudeste,Espirito Santo,0 -100,3.0,<17,0.0,Redação
Sudeste,Espirito Santo,101-200,22.0,<17,1.0,Redação
Sudeste,Espirito Santo,201-300,564.0,<17,19.0,Redação
Sudeste,Espirito Santo,301-400,2589.0,<17,144.0,Redação
Sudeste,Espirito Santo,401-500,4733.0,<17,286.0,Redação
Sudeste,Espirito Santo,501-600,10096.0,<17,691.0,Redação
Sudeste,Espirito Santo,601-700,10842.0,<17,881.0,Redação
Sudeste,Espirito Santo,701-800,7161.0,<17,755.0,Redação
Sudeste,Espirito Santo,801-900,7735.0,<17,876.0,Redação
Sudeste,Espirito Santo,901-1.000,6446.0,<17,554.0,Redação
Sudeste,Espirito Santo,>1.001,2.0,<17,0.0,Redação
Sudeste,Rio de Janeiro,0 -100,7.0,<17,0.0,Redação
Sudeste,Rio de Janeiro,101-200,76.0,<17,1.0,Redação
Sudeste,Rio de Janeiro,201-300,2278.0,<17,74.0,Redação
Sudeste,Rio de Janeiro,301-400,10772.0,<17,530.0,Redação
Sudeste,Rio de Janeiro,401-500,18953.0,<17,1117.0,Redação
Sudeste,Rio de Janeiro,501-600,38814.0,<17,2732.0,Redação
Sudeste,Rio de Janeiro,601-700,39844.0,<17,3838.0,Redação
Sudeste,Rio de Janeiro,701-800,26728.0,<17,3014.0,Redação
Sudeste,Rio de Janeiro,801-900,28403.0,<17,3014.0,Redação
Sudeste,Rio de Janeiro,901-1.000,22738.0,<17,1700.0,Redação
Sudeste,Rio de Janeiro,>1.001,7.0,<17,0.0,Redação
Sudeste,São Paulo,0 -100,25.0,<17,1.0,Redação
Sudeste,São Paulo,101-200,149.0,<17,7.0,Redação
Sudeste,São Paulo,201-300,4343.0,<17,195.0,Redação
Sudeste,São Paulo,301-400,21152.0,<17,1552.0,Redação
Sudeste,São Paulo,401-500,40625.0,<17,3257.0,Redação
Sudeste,São Paulo,501-600,89118.0,<17,8519.0,Redação
Sudeste,São Paulo,601-700,96778.0,<17,12463.0,Redação
Sudeste,São Paulo,701-800,65787.0,<17,9276.0,Redação
Sudeste,São Paulo,801-900,63724.0,<17,8195.0,Redação
Sudeste,São Paulo,901-1.000,38788.0,<17,3781.0,Redação
Sudeste,São Paulo,>1.001,7.0,<17,0.0,Redação
Sul,Paraná,0 -100,5.0,<17,0.0,Redação
Sul,Paraná,101-200,44.0,<17,7.0,Redação
Sul,Paraná,201-300,1365.0,<17,126.0,Redação
Sul,Paraná,301-400,7289.0,<17,835.0,Redação
Sul,Paraná,401-500,14414.0,<17,1704.0,Redação
Sul,Paraná,501-600,29627.0,<17,3909.0,Redação
Sul,Paraná,601-700,27156.0,<17,4299.0,Redação
Sul,Paraná,701-800,15804.0,<17,2623.0,Redação
Sul,Paraná,801-900,14148.0,<17,2206.0,Redação
Sul,Paraná,901-1.000,8314.0,<17,965.0,Redação
Sul,Paraná,>1.001,0.0,<17,0.0,Redação
Sul,Santa Catarina,0 -100,2.0,<17,0.0,Redação
Sul,Santa Catarina,101-200,15.0,<17,0.0,Redação
Sul,Santa Catarina,201-300,569.0,<17,37.0,Redação
Sul,Santa Catarina,301-400,3114.0,<17,294.0,Redação
Sul,Santa Catarina,401-500,6002.0,<17,527.0,Redação
Sul,Santa Catarina,501-600,13714.0,<17,1391.0,Redação
Sul,Santa Catarina,601-700,15154.0,<17,1933.0,Redação
Sul,Santa Catarina,701-800,9976.0,<17,1427.0,Redação
Sul,Santa Catarina,801-900,9465.0,<17,1371.0,Redação
